tropicalrainforests	http://purl.obolibrary.org/obo/ENVO_01000228

coast	http://purl.obolibrary.org/obo/ENVO_01000687
coastal	http://purl.obolibrary.org/obo/ENVO_01000687
coastal areas	http://purl.obolibrary.org/obo/ENVO_01000687
coastal strip	http://purl.obolibrary.org/obo/ENVO_01000687
coastal region	http://purl.obolibrary.org/obo/ENVO_01000687
coasts	http://purl.obolibrary.org/obo/ENVO_01000687
coastal regions	http://purl.obolibrary.org/obo/ENVO_01000687
costal	http://purl.obolibrary.org/obo/ENVO_01000687
littoral	http://eol.org/schema/terms/littoralZone
Sea coast	http://purl.obolibrary.org/obo/ENVO_01000687
forests	http://purl.obolibrary.org/obo/ENVO_01000174
forest	http://purl.obolibrary.org/obo/ENVO_01000174
deciduous forests	http://purl.obolibrary.org/obo/ENVO_01000816
groves	http://purl.obolibrary.org/obo/ENVO_01000174
deciduous forest	http://purl.obolibrary.org/obo/ENVO_01000816
Forest Reserve	http://purl.obolibrary.org/obo/ENVO_01000174
Forest Reserves	http://purl.obolibrary.org/obo/ENVO_01000174
open-water	http://purl.obolibrary.org/obo/ENVO_00002030
open water	http://purl.obolibrary.org/obo/ENVO_00002030
rivers	http://purl.obolibrary.org/obo/ENVO_01000253
foothill	http://purl.obolibrary.org/obo/ENVO_00000083
foothills	http://purl.obolibrary.org/obo/ENVO_00000083
palm grove	http://purl.obolibrary.org/obo/ENVO_01000220
glades	http://purl.obolibrary.org/obo/ENVO_00000444
agricultural sites	http://purl.obolibrary.org/obo/ENVO_00000077
open-water	http://purl.obolibrary.org/obo/ENVO_00002030
open water	http://purl.obolibrary.org/obo/ENVO_00002030

mountains	http://purl.obolibrary.org/obo/ENVO_00000081
nunatak	http://purl.obolibrary.org/obo/ENVO_00000181

hills	http://purl.obolibrary.org/obo/ENVO_00000083
rainforests	http://purl.obolibrary.org/obo/ENVO_01000228
rainforest	http://purl.obolibrary.org/obo/ENVO_01000228
tropical rainforests	http://purl.obolibrary.org/obo/ENVO_01000228
rain forest	http://purl.obolibrary.org/obo/ENVO_01000228
thorn forest	http://purl.obolibrary.org/obo/ENVO_01000174
deciduous forest	http://purl.obolibrary.org/obo/ENVO_01000816
tropical rainforest	http://purl.obolibrary.org/obo/ENVO_01000228
tropical rain forests	http://purl.obolibrary.org/obo/ENVO_01000228
deciduous forests	http://purl.obolibrary.org/obo/ENVO_01000816
tropical rain forest	http://purl.obolibrary.org/obo/ENVO_01000228
coniferous forests	http://purl.obolibrary.org/obo/ENVO_01000196
thorn forests	http://purl.obolibrary.org/obo/ENVO_01000174
rain-forest	http://purl.obolibrary.org/obo/ENVO_01000228
