t.uri	pref.uri
http://eol.org/schema/terms/vine	http://purl.obolibrary.org/obo/FLOPO_0900035
http://eol.org/schema/terms/coldStratificationNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/flowerConspicuousNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fruitSeedConspicuousNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fruitPersistentNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/smallGrainNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fallConspicuousNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fireResistantNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/palatableHumansNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/lowGrowingGrassNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/coarseSoilNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fineSoilNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/mediumSoilNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByBareRootNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByBulbsNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByContainerNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByCormsNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByCuttingsNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedBySeedNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedBySodNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedBySprigsNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByTubersNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/coppicePotentialNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/ResproutNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/christmasTreeNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fodderNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/navalStoreNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/pulpwoodNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/lumberNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/postProductNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/veneerNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/berryNutSeedNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/nurseryStockNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/coarseSoilYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fineSoilYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/mediumSoilYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/palatableHumansYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/coldStratificationYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/flowerConspicuousYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fruitSeedConspicuousYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fruitPersistentYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/smallGrainYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fallConspicuousYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fireResistantYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/allelopathyYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/lowGrowingGrassYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByBareRootYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByBulbsYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByContainerYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByCormsYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByCuttingsYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedBySeedYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedBySodYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedBySprigsYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByTubersYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/coppicePotentialYes	http://eol.org/schema/terms/yes
